ST_NAME,YEAR,AC_NO,AC_NAME,AC_TYPE,#,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
BIHAR,2015,210,DINARA,GEN,9,SANJEEV KUMAR,M,30,GEN,IND,
BIHAR,2015,210,DINARA,GEN,10,JAWAHAR SINGH YADAV,M,51,GEN,BSP,
BIHAR,2015,210,DINARA,GEN,11,LAL BABU SINGH,M,40,GEN,IND,
BIHAR,2015,210,DINARA,GEN,12,BHUPESH SINGH,M,32,GEN,IND,
BIHAR,2015,210,DINARA,GEN,13,KASHI NATH SINGH AMAI,M,52,GEN,SP,
BIHAR,2015,210,DINARA,GEN,14,SEK HAMAHATAK ALAM,M,48,GEN,IND,
BIHAR,2015,210,DINARA,GEN,15,SUNIL KUMAR PASWAN,M,36,GEN,IND,3774
BIHAR,2015,210,DINARA,GEN,16,RAJENDRA PRASAD SINGH,M,49,GEN,BJP,62008
BIHAR,2015,210,DINARA,GEN,17,JAI KUMAR SINGH,M,46,GEN,JD(U),64699
BIHAR,2015,210,DINARA,GEN,18,AJAY KUMAR SINGH,M,40,GEN,SWAP,
BIHAR,2015,229,BODH GAYA,SC,1,NONE OF THE ABOVE,,,,,NOTA,
BIHAR,2015,229,BODH GAYA,SC,2,MINA DEVI,F,39,SC,RMEP,
BIHAR,2015,229,BODH GAYA,SC,3,AMOD KUMAR PASWAN,M,29,SC,SHS,
BIHAR,2015,229,BODH GAYA,SC,4,RAMBALI MANJHI,M,52,SC,PMS,
BIHAR,2015,229,BODH GAYA,SC,5,RAJKUMAR PASWAN,M,45,SC,ABHM,
BIHAR,2015,229,BODH GAYA,SC,6,JANKI PASWAN,M,59,SC,CPI,4057
BIHAR,2015,229,BODH GAYA,SC,7,SIKANDAR CHOUDHARY,M,30,SC,BBMP,
BIHAR,2015,229,BODH GAYA,SC,8,KUMAR SARVJEET,M,40,SC,RJD,82656
BIHAR,2015,229,BODH GAYA,SC,9,SANJAY PASWAN,M,39,SC,IPTY,
BIHAR,2015,229,BODH GAYA,SC,10,PRABHU PASWAN,M,46,SC,RPI(A),
BIHAR,2015,229,BODH GAYA,SC,11,DEEN DAYAL BHARATI,M,43,SC,NCP,
BIHAR,2015,229,BODH GAYA,SC,12,SHARAWAN MANJHI,M,43,SC,BSP,
BIHAR,2015,229,BODH GAYA,SC,13,SATYENDRA KUMAR,M,37,SC,GJDS,
BIHAR,2015,229,BODH GAYA,SC,14,SHYAMDEO PASWAN,M,43,SC,BJP,52183
BIHAR,2015,229,BODH GAYA,SC,15,DEVENDRA MANJHI,M,48,SC,IND,4265
BIHAR,2015,229,BODH GAYA,SC,16,NARESH KUMAR BHARTI,M,45,SC,IND,2872
Haryana,2005,4,CHHACHHRAULI,GEN,5,MAHANT HUKAM CHAND,M,56,GEN,NCP,1460
Haryana,2005,11,INDRI,GEN,5,ANGREJ SINGH DHUMSI,M,54,GEN,ES,14266
Haryana,2005,17,PANIPAT,GEN,1,KASTURI LAL AHUJA,M,64,GEN,INLD,7974
Haryana,2005,32,KALANAUR,SC,6,ISHWAR SINGH,M,43,SC,JD(S),259
Haryana,2005,42,RAI,GEN,7,DALEL,M,33,GEN,JD(S),513
Haryana,2005,58,NUH,GEN,11,HUKAM CHAND,M,35,GEN,NCP,1241
Haryana,2005,64,DADRI,GEN,10,GAJE SINGH,M,29,GEN,IND,82
Haryana,2005,78,FATEHABAD,GEN,4,DURGESH ARORA,F,46,GEN,BJP,3147
Haryana,2005,87,JATUSANA,GEN,4,YADAVENDRA SINGH,M,47,GEN,INC,39276
Jharkhand,2005,9,JAMTARA,GEN,13,DULAL ROY,M,41,GEN,IND,2885
Jharkhand,2005,13,MADHUPUR,GEN,1,JAWAHAR PRASAD SINGH,M,58,GEN,RJD,5989
Jharkhand,2005,13,MADHUPUR,GEN,10,MUKESH KUMAR SINGH,M,29,GEN,AJSU,2250
Jharkhand,2005,17,GODDA,GEN,7,DUKH MOCHAN,M,60,GEN,AJSU,2600
Jharkhand,2005,17,GODDA,GEN,16,DEORAJ DUBEY,M,30,GEN,IND,1817
Jharkhand,2005,23,RAMGARH,GEN,2,DALESHWAR PRASAD,M,38,GEN,BSP,1123
Jharkhand,2005,24,MANDU,GEN,9,RAZI AHMAD,M,37,GEN,AJSU,14426
Jharkhand,2005,24,MANDU,GEN,17,SHANKAR SINGH,M,36,GEN,IND,4808
Jharkhand,2005,25,HAZARIBAGH,GEN,5,TAZEEM,M,52,GEN,BMF,982
Jharkhand,2005,25,HAZARIBAGH,GEN,8,BHUNESHWAR MEHTA,M,51,GEN,JVC,624
Jharkhand,2005,28,DHANWAR,GEN,6,RAM KUMAR RAUT,M,43,GEN,SP,2941
Jharkhand,2005,28,DHANWAR,GEN,4,VIDESHI PASWAN,M,25,GEN,BSP,2646
Jharkhand,2005,32,GIRIDIH,GEN,7,NAND KISHORE RANA,M,60,GEN,RSMD,459
Jharkhand,2005,38,SINDRI,GEN,3,RAJESH KUMAR,M,35,SC,BSP,1777
Jharkhand,2005,41,JHARIA,GEN,11,SHANKAR RAWANI,M,37,GEN,JVC,3965
Jharkhand,2005,47,JUGSALAI,SC,2,DULAL BHUIYAN,M,38,SC,JMM,59649
Jharkhand,2005,49,JAMSHEDPUR WEST,GEN,13,RAJU MISHRA,M,49,GEN,IND,316
Jharkhand,2005,54,JAGANATHPUR,ST,2,JENA LAGURI,M,29,ST,BSP,1298
Jharkhand,2005,55,MANOHARPUR,ST,12,HARDUGAN MANKI,M,47,ST,IND,3947
Jharkhand,2005,57,KHARSAWAN,ST,11,PRADHAN PASING GUNDUA,M,38,ST,IND,631
Jharkhand,2005,57,KHARSAWAN,ST,8,DIMPLE LAMAY,F,27,ST,IND,354
Jharkhand,2005,59,TORPA,ST,8,NIRMAL HEMROM,M,34,ST,IND,2858
Jharkhand,2005,60,KHUNTI,ST,6,PANDUA HORO,M,45,ST,JKKP,385
Jharkhand,2005,61,SILLI,GEN,15,KAMAKHYA NARAYAN,M,39,GEN,IND,587
Jharkhand,2005,65,KANKE,SC,10,ARJUN BAITHA,M,30,SC,IND,767
Jharkhand,2005,71,KOLEBIRA,ST,13,DULAR YOTAM KULLU,M,33,ST,IND,2176
Jharkhand,2005,73,MANIKA,ST,1,DR. DEEPAK ORAON,M,33,ST,JMM,16577
Jharkhand,2005,73,MANIKA,ST,2,YAMUNA SINGH,M,67,ST,BJP,15680
Jharkhand,2005,73,MANIKA,ST,16,RAJESHWAR SINGH,M,34,ST,IND,3419
Jharkhand,2005,77,BISHRAMPUR,GEN,1,AJAY KUMAR DUBEY,M,34,GEN,INC,22046
Jharkhand,2005,77,BISHRAMPUR,GEN,6,CHANDRASHEKHAR DUBEY,M,37,GEN,LJP,6570
Jharkhand,2005,77,BISHRAMPUR,GEN,13,RAJMUNI RAM,M,32,GEN,IND,2370
Jharkhand,2005,77,BISHRAMPUR,GEN,15,SANTOSH KUMAR,M,28,GEN,IND,1819
Jharkhand,2005,77,BISHRAMPUR,GEN,7,ANIL MISHTRI,M,33,GEN,IND,1315
Jharkhand,2005,77,BISHRAMPUR,GEN,8,KHUSHDIL SINGH,M,45,GEN,IND,697
Jharkhand,2005,79,HUSSAINABAD,GEN,1,KAMLESH KR. SINGH,M,47,GEN,NCP,21661
Jharkhand,2005,79,HUSSAINABAD,GEN,4,DASHRATH KR.SINGH,M,48,GEN,JD(U),20793
Jharkhand,2005,79,HUSSAINABAD,GEN,11,RAM CHANDRA MEHTA,M,35,GEN,IND,1859
Jharkhand,2005,79,HUSSAINABAD,GEN,15,SATENDRA SINGH,M,37,GEN,IND,1479
Jharkhand,2005,79,HUSSAINABAD,GEN,8,ARVIND PASWAN,M,25,SC,IND,975
Jharkhand,2005,79,HUSSAINABAD,GEN,13,SHYAM VIHARI PASWAN,M,32,SC,IND,945
Jharkhand,2005,81,BHAWANATHPUR,GEN,8,BHANU PRATAP SAHI,M,31,GEN,AIFB,38090
MEGHALAYA,2018,43,WILLIAM NAGAR,ST,1,LAHATSON N MARAK,M,37,ST,IND,512
MEGHALAYA,2018,43,WILLIAM NAGAR,ST,2,SILJONG R. MARAK,M,29,ST,IND,233
MEGHALAYA,2018,43,WILLIAM NAGAR,ST,3,JAN N. ARENGH,M,45,ST,IND,329
MEGHALAYA,2018,43,WILLIAM NAGAR,ST,4,NONE OF THE ABOVE,,,,,NOTA,279
MEGHALAYA,2018,43,WILLIAM NAGAR,ST,5,SENGBATH R MARAK,M,42,ST,IND,4736
MEGHALAYA,2018,43,WILLIAM NAGAR,ST,6,MARCUISE N MARAK,M,49,ST,NPEP,9656
MEGHALAYA,2018,43,WILLIAM NAGAR,ST,7,KRINILLA R. MARAK,,,ST,NCP,4040
MEGHALAYA,2018,43,WILLIAM NAGAR,ST,8,MAHAMSING M. SANGMA,M,44,ST,UDP,511
MEGHALAYA,2018,43,WILLIAM NAGAR,ST,9,DEBORAH C. MARAK,F,53,ST,INC,4554
MEGHALAYA,2018,43,WILLIAM NAGAR,ST,10,SANTOSH R. MARAK,M,52,ST,BJP,870
Sikkim,2004,12,WAK,GEN,1,CHANDRA BAHADUR KARKI,M,45,GEN,SDF,
Sikkim,2004,13,DAMTHANG,GEN,1,PAWAN CHAMLING,M,54,GEN,SDF,
Sikkim,2004,14,MELLI,GEN,1,GIRISH CHANDRA RAI,M,45,GEN,SDF,
Sikkim,2004,25,KABI TINGDA,GEN,1,THENLAY TSHERING BHUTIA,M,49,BL,SDF,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,1,NONE OF THE ABOVE,,,,,NOTA,1538
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,2,BASKARAN .M,M,43,GEN,PMK,995
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,3,SUNDARESWARAN .M,M,35,GEN,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,4,THAMILALAGAN .A,M,29,SC,IND
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,5,KRISHNAMOORTHY .S,M,44,GEN,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,6,PUKKARANDI .V,M,54,SC,BSP,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,7,SENTHILBALAJI .V,M,41,GEN,ADMK,88068
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,8,SENTHILKUMAR .N,M,39,GEN,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,9,PRABHU C.S,M,32,GEN,IJK,3162
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,10,NATARAJAN. R,M,57,GEN,KMDK,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,11,KARTHIKEYAN .M,M,42,GEN,IND,106
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,12,SASIKUMAR .M,M,40,SC,IND,474
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,13,RAJESH KUMAR .P,M,29,SC,PPIS,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,14,ARAVINTH .G,M,33,GEN,NTK,793
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,15,PITCHAIMUTHU .T,M,41,GEN,IND,82
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,16,PALLANISHAMY .K.C,M,81,GEN,DMK,64407
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,17,BASKAR .P,M,45,GEN,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,18,MARIAPPAN .M,M,36,SC,TMMK,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,19,KANNAN .R,M,47,GEN,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,20,MUTHUKUMAR .G,M,43,GEN,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,21,MOHAMED MIRZA .R,M,33,GEN,SDPI,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,22,VEERAMANI .T,M,36,GEN,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,23,DASAPRAKASH .K,M,33,GEN,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,24,KALAIYARASAN .G,M,44,GEN,MDMK,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,25,VIGNESHWARAN .M,M,28,SC,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,26,SYED ABUTHAHIR .T.M,M,32,GEN,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,27,BALASUBRAMANI .K,M,34,GEN,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,28,NOYYAL M.RAMASAMY,M,45,GEN,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,29,THIRUKKUMAR .V,M,49,SC,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,30,SAMPATH .S,M,40,GEN,IND,925
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,31,SUBRAMANI .V,GOKMK,M,49,GEN,GOKMK,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,32,MANIVASAGAM .R,M,49,SC,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,33,PRABAKARAN .T,M,28,GEN,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,34,RAVI .S.P,M,31,GEN,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,35,PALANISAMY .K,M,44,GEN,IND,
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,36,MAGUDEESWARAN .K,M,35,GEN,IND,154
TAMIL NADU,2016,134,ARAVAKURICHI,GEN,37,PALANISAMY .P,M,52,GEN,IND,
Uttar Pradesh,1991,18,DHAMPUR,GEN,19,AFZAL,M,,GEN,ICS (SCS),53
Uttar Pradesh,2012,42,HASANPUR,GEN,8,RAJESH KUMAR SAVITA,M,36,GEN,Aa S P,1205
Uttar Pradesh,2012,140,SRI NAGAR,SC,12,MAHAVEER SINGH SHANSIA,M,69,SC,Aa S P,1204
